transaction_id,project_id,transaction_date,posting_date,transaction_type,hours,wip_amount,wip_status,write_up_down,billed_amount,invoice_id,created_at_utc
TXN-50561,PRJ-1013,2026-03-27,2026-03-29,EXPENSE,0.0,2372.0,2,-55.0,2317.0,INV-9038,2026-03-29T21:32:00Z
TXN-50386,PRJ-1009,2026-02-07,2026-02-09,EXPENSE,0.0,801.0,0,0.0,0.0,,2026-02-09T15:32:00Z
TXN-50989,PRJ-1023,2026-02-27,2026-02-28,LABOR,16.0,1920.0,2,-204.0,1716.0,INV-9066,2026-02-28T18:40:00Z
TXN-51762,PRJ-1011,2026-03-30,2026-04-02,LABOR,18.0,3150.0,0,0.0,0.0,,2026-04-02T13:32:00Z
TXN-50064,PRJ-1002,2026-02-26,2026-02-27,LABOR,4.0,600.0,0,0.0,0.0,,2026-02-27T22:31:00Z
TXN-50582,PRJ-1014,2026-02-16,2026-02-17,LABOR,10.0,2100.0,2,-372.0,1728.0,INV-9040,2026-02-17T15:35:00Z
TXN-51321,PRJ-1030,2026-02-25,2026-02-26,LABOR,14.0,2100.0,0,0.0,0.0,,2026-02-26T21:02:00Z
TXN-51706,PRJ-1040,2026-01-17,2026-01-18,LABOR,4.0,700.0,2,-88.0,612.0,INV-9109,2026-01-18T18:57:00Z
TXN-50007,PRJ-1001,2026-01-21,2026-01-23,LABOR,10.0,2500.0,0,0.0,0.0,,2026-01-23T17:19:00Z
TXN-50524,PRJ-1013,2026-01-19,2026-01-21,LABOR,16.0,3360.0,2,-327.0,3033.0,INV-9036,2026-01-21T17:20:00Z
TXN-50017,PRJ-1001,2026-02-09,2026-02-10,LABOR,16.0,2800.0,2,-39.0,2761.0,INV-9002,2026-02-10T20:24:00Z
TXN-50159,PRJ-1004,2026-03-02,2026-03-02,LABOR,8.0,1680.0,0,0.0,0.0,,2026-03-02T18:47:00Z
TXN-51372,PRJ-1031,2026-03-19,2026-03-21,LABOR,14.0,2100.0,0,0.0,0.0,,2026-03-21T20:25:00Z
TXN-50784,PRJ-1018,2026-03-27,2026-03-28,LABOR,22.0,2090.0,2,72.0,2162.0,INV-9053,2026-03-28T22:29:00Z
TXN-51007,PRJ-1023,2026-03-17,2026-03-18,LABOR,14.0,2450.0,0,0.0,0.0,,2026-03-18T14:05:00Z
TXN-51398,PRJ-1032,2026-02-18,2026-02-18,EXPENSE,0.0,845.0,0,0.0,0.0,,2026-02-18T21:56:00Z
TXN-50569,PRJ-1014,2026-01-14,2026-01-14,LABOR,12.0,2100.0,2,165.0,2265.0,INV-9039,2026-01-14T16:00:00Z
TXN-50218,PRJ-1006,2026-01-24,2026-01-24,LABOR,6.0,1500.0,2,-165.0,1335.0,INV-9015,2026-01-24T22:36:00Z
TXN-50432,PRJ-1010,2026-03-03,2026-03-05,LABOR,8.0,760.0,0,0.0,0.0,,2026-03-05T17:04:00Z
TXN-50169,PRJ-1005,2026-01-08,2026-01-08,LABOR,10.0,2500.0,2,-22.0,2478.0,INV-9012,2026-01-08T17:20:00Z
TXN-50945,PRJ-1022,2026-02-03,2026-02-05,LABOR,4.0,700.0,2,-85.0,615.0,INV-9063,2026-02-05T22:34:00Z
TXN-50175,PRJ-1005,2026-01-08,2026-01-08,LABOR,22.0,5500.0,0,0.0,0.0,,2026-01-08T19:54:00Z
TXN-50112,PRJ-1003,2026-03-08,2026-03-10,LABOR,6.0,900.0,0,0.0,0.0,,2026-03-10T18:37:00Z
TXN-50343,PRJ-1008,2026-02-08,2026-02-09,LABOR,10.0,1200.0,0,0.0,0.0,,2026-02-09T17:20:00Z
TXN-50260,PRJ-1006,2026-03-18,2026-03-20,LABOR,20.0,1900.0,2,78.0,1978.0,INV-9017,2026-03-20T14:16:00Z
TXN-51576,PRJ-1036,2026-03-10,2026-03-11,LABOR,12.0,2100.0,0,0.0,0.0,,2026-03-11T21:29:00Z
TXN-51251,PRJ-1029,2026-01-12,2026-01-12,LABOR,4.0,600.0,2,-76.0,524.0,INV-9080,2026-01-12T19:06:00Z
TXN-50599,PRJ-1014,2026-03-06,2026-03-08,LABOR,20.0,5000.0,0,0.0,0.0,,2026-03-08T16:56:00Z
TXN-51324,PRJ-1030,2026-02-27,2026-02-28,LABOR,22.0,4620.0,0,0.0,0.0,,2026-02-28T15:14:00Z
TXN-50015,PRJ-1001,2026-02-16,2026-02-18,LABOR,10.0,1500.0,2,-210.0,1290.0,INV-9002,2026-02-18T17:16:00Z
TXN-50352,PRJ-1008,2026-03-22,2026-03-22,EXPENSE,0.0,2131.0,0,0.0,0.0,,2026-03-22T19:52:00Z
TXN-50570,PRJ-1014,2026-01-19,2026-01-20,EXPENSE,0.0,1231.0,2,-58.0,1173.0,INV-9039,2026-01-20T21:09:00Z
TXN-50383,PRJ-1009,2026-02-10,2026-02-11,LABOR,12.0,1140.0,0,0.0,0.0,,2026-02-11T17:20:00Z
TXN-50854,PRJ-1020,2026-02-03,2026-02-05,LABOR,10.0,2100.0,2,-5.0,2095.0,INV-9058,2026-02-05T18:14:00Z
TXN-51042,PRJ-1024,2026-03-13,2026-03-15,EXPENSE,0.0,1120.0,0,0.0,0.0,,2026-03-15T16:22:00Z
TXN-50482,PRJ-1012,2026-01-08,2026-01-09,LABOR,14.0,2940.0,2,-122.0,2818.0,INV-9033,2026-01-09T16:33:00Z
TXN-50272,PRJ-1007,2026-01-22,2026-01-23,LABOR,20.0,5000.0,0,0.0,0.0,,2026-01-23T13:28:00Z
TXN-50620,PRJ-1015,2026-02-24,2026-02-24,LABOR,14.0,3500.0,2,-34.0,3466.0,INV-9043,2026-02-24T16:45:00Z
TXN-50113,PRJ-1003,2026-03-15,2026-03-16,LABOR,20.0,4200.0,0,0.0,0.0,,2026-03-16T18:53:00Z
TXN-51342,PRJ-1031,2026-01-23,2026-01-24,LABOR,18.0,1710.0,2,31.0,1741.0,INV-9086,2026-01-24T21:59:00Z
TXN-51300,PRJ-1030,2026-01-27,2026-01-29,LABOR,20.0,5000.0,2,-939.0,4061.0,INV-9083,2026-01-29T15:37:00Z
TXN-50232,PRJ-1006,2026-02-14,2026-02-15,LABOR,20.0,1900.0,2,-25.0,1875.0,INV-9016,2026-02-15T14:39:00Z
TXN-51198,PRJ-1028,2026-01-23,2026-01-25,LABOR,6.0,900.0,2,-76.0,824.0,INV-9077,2026-01-25T16:18:00Z
TXN-51259,PRJ-1029,2026-02-23,2026-02-25,EXPENSE,0.0,1568.0,2,-155.0,1413.0,INV-9081,2026-02-25T19:32:00Z
TXN-50120,PRJ-1003,2026-03-15,2026-03-16,EXPENSE,0.0,265.0,0,0.0,0.0,,2026-03-16T22:26:00Z
TXN-50743,PRJ-1018,2026-01-20,2026-01-21,LABOR,20.0,4200.0,2,-147.0,4053.0,INV-9051,2026-01-21T21:46:00Z
TXN-51561,PRJ-1036,2026-02-10,2026-02-12,LABOR,12.0,1440.0,2,-46.0,1394.0,INV-9101,2026-02-12T18:04:00Z
TXN-51255,PRJ-1029,2026-01-06,2026-01-07,LABOR,22.0,2640.0,0,0.0,0.0,,2026-01-07T20:54:00Z
TXN-50794,PRJ-1019,2026-01-05,2026-01-07,LABOR,18.0,3780.0,2,-678.0,3102.0,INV-9054,2026-01-07T13:45:00Z
TXN-51362,PRJ-1031,2026-02-10,2026-02-11,LABOR,8.0,960.0,0,0.0,0.0,,2026-02-11T15:19:00Z
TXN-50183,PRJ-1005,2026-02-12,2026-02-13,LABOR,6.0,720.0,2,-134.0,586.0,INV-9013,2026-02-13T17:35:00Z
TXN-50004,PRJ-1001,2026-01-16,2026-01-17,LABOR,4.0,700.0,2,-127.0,573.0,INV-9001,2026-01-17T21:49:00Z
TXN-50510,PRJ-1012,2026-03-21,2026-03-21,LABOR,12.0,3000.0,0,0.0,0.0,,2026-03-21T17:05:00Z
TXN-51117,PRJ-1026,2026-01-08,2026-01-08,EXPENSE,0.0,1936.0,0,0.0,0.0,,2026-01-08T14:33:00Z
TXN-50413,PRJ-1010,2026-01-19,2026-01-19,LABOR,18.0,4500.0,0,0.0,0.0,,2026-01-19T13:59:00Z
TXN-50390,PRJ-1009,2026-03-10,2026-03-10,EXPENSE,0.0,2106.0,0,0.0,0.0,,2026-03-10T21:03:00Z
TXN-50144,PRJ-1004,2026-02-12,2026-02-14,LABOR,22.0,2640.0,2,-68.0,2572.0,INV-9010,2026-02-14T15:51:00Z
TXN-50723,PRJ-1017,2026-03-14,2026-03-16,EXPENSE,0.0,170.0,0,0.0,0.0,,2026-03-16T13:06:00Z
TXN-50305,PRJ-1007,2026-03-17,2026-03-18,LABOR,22.0,2640.0,0,0.0,0.0,,2026-03-18T17:08:00Z
TXN-50850,PRJ-1020,2026-01-05,2026-01-05,EXPENSE,0.0,1618.0,0,0.0,0.0,,2026-01-05T19:36:00Z
TXN-50981,PRJ-1023,2026-01-18,2026-01-18,EXPENSE,0.0,2391.0,2,-469.0,1922.0,INV-9065,2026-01-18T18:17:00Z
TXN-51420,PRJ-1032,2026-03-11,2026-03-12,EXPENSE,0.0,1560.0,2,71.0,1631.0,INV-9091,2026-03-12T14:31:00Z
TXN-50075,PRJ-1002,2026-03-21,2026-03-22,LABOR,6.0,1260.0,0,0.0,0.0,,2026-03-22T13:12:00Z
TXN-51470,PRJ-1034,2026-01-13,2026-01-14,LABOR,6.0,1500.0,2,-247.0,1253.0,INV-9095,2026-01-14T16:24:00Z
TXN-51570,PRJ-1036,2026-02-24,2026-02-26,EXPENSE,0.0,928.0,0,0.0,0.0,,2026-02-26T17:00:00Z
TXN-50087,PRJ-1003,2026-01-06,2026-01-07,EXPENSE,0.0,953.0,2,-63.0,890.0,INV-9006,2026-01-07T20:08:00Z
TXN-51511,PRJ-1034,2026-03-07,2026-03-08,EXPENSE,0.0,2443.0,2,-108.0,2335.0,INV-9097,2026-03-08T14:57:00Z
TXN-51241,PRJ-1028,2026-03-16,2026-03-17,LABOR,22.0,4620.0,2,3.0,4623.0,INV-9079,2026-03-17T17:57:00Z
TXN-50838,PRJ-1019,2026-03-15,2026-03-15,LABOR,10.0,1200.0,2,76.0,1276.0,INV-9056,2026-03-15T19:22:00Z
TXN-50267,PRJ-1007,2026-01-19,2026-01-21,LABOR,8.0,760.0,2,-35.0,725.0,INV-9018,2026-01-21T18:23:00Z
TXN-50983,PRJ-1023,2026-01-07,2026-01-08,LABOR,14.0,2450.0,2,-395.0,2055.0,INV-9065,2026-01-08T14:08:00Z
TXN-51406,PRJ-1032,2026-03-17,2026-03-18,EXPENSE,0.0,525.0,0,0.0,0.0,,2026-03-18T20:34:00Z
TXN-50317,PRJ-1008,2026-01-07,2026-01-09,LABOR,18.0,2700.0,2,-195.0,2505.0,INV-9021,2026-01-09T21:23:00Z
TXN-50931,PRJ-1022,2026-01-06,2026-01-06,LABOR,8.0,760.0,2,2.0,762.0,INV-9062,2026-01-06T22:33:00Z
TXN-51528,PRJ-1035,2026-02-20,2026-02-22,LABOR,22.0,2090.0,2,-36.0,2054.0,INV-9099,2026-02-22T17:23:00Z
TXN-51694,PRJ-1039,2026-03-19,2026-03-19,EXPENSE,0.0,1837.0,0,0.0,0.0,,2026-03-19T18:19:00Z
TXN-51051,PRJ-1024,2026-03-08,2026-03-08,LABOR,18.0,2700.0,0,0.0,0.0,,2026-03-08T14:18:00Z
TXN-51551,PRJ-1036,2026-01-23,2026-01-23,EXPENSE,0.0,2188.0,2,44.0,2232.0,INV-9100,2026-01-23T14:00:00Z
TXN-50859,PRJ-1020,2026-02-19,2026-02-20,LABOR,20.0,2400.0,2,-405.0,1995.0,INV-9058,2026-02-20T21:07:00Z
TXN-51348,PRJ-1031,2026-01-09,2026-01-10,EXPENSE,0.0,410.0,0,0.0,0.0,,2026-01-10T13:03:00Z
TXN-51681,PRJ-1039,2026-02-03,2026-02-03,LABOR,4.0,600.0,2,-70.0,530.0,INV-9108,2026-02-03T22:53:00Z
TXN-51380,PRJ-1032,2026-01-15,2026-01-15,LABOR,10.0,1500.0,2,-49.0,1451.0,INV-9089,2026-01-15T22:14:00Z
TXN-51632,PRJ-1038,2026-01-18,2026-01-20,LABOR,10.0,1200.0,2,-60.0,1140.0,INV-9105,2026-01-20T13:20:00Z
TXN-50464,PRJ-1011,2026-02-07,2026-02-07,LABOR,22.0,4620.0,0,0.0,0.0,,2026-02-07T13:33:00Z
TXN-50727,PRJ-1017,2026-03-10,2026-03-10,EXPENSE,0.0,836.0,0,0.0,0.0,,2026-03-10T18:10:00Z
TXN-50992,PRJ-1023,2026-02-17,2026-02-17,LABOR,22.0,5500.0,2,-737.0,4763.0,INV-9066,2026-02-17T13:54:00Z
TXN-50753,PRJ-1018,2026-01-12,2026-01-14,EXPENSE,0.0,1651.0,0,0.0,0.0,,2026-01-14T13:14:00Z
TXN-50283,PRJ-1007,2026-02-09,2026-02-11,LABOR,20.0,3000.0,2,-109.0,2891.0,INV-9019,2026-02-11T17:07:00Z
TXN-50397,PRJ-1009,2026-03-03,2026-03-03,EXPENSE,0.0,1971.0,2,-309.0,1662.0,INV-9026,2026-03-03T15:45:00Z
TXN-50337,PRJ-1008,2026-02-16,2026-02-16,EXPENSE,0.0,2021.0,2,-292.0,1729.0,INV-9022,2026-02-16T14:23:00Z
TXN-50665,PRJ-1016,2026-01-05,2026-01-05,EXPENSE,0.0,1901.0,0,0.0,0.0,,2026-01-05T13:37:00Z
TXN-50164,PRJ-1004,2026-03-26,2026-03-28,LABOR,6.0,570.0,0,0.0,0.0,,2026-03-28T15:34:00Z
TXN-51111,PRJ-1026,2026-01-13,2026-01-14,LABOR,18.0,4500.0,2,-392.0,4108.0,INV-9073,2026-01-14T20:12:00Z
TXN-51390,PRJ-1032,2026-01-27,2026-01-28,LABOR,22.0,3300.0,0,0.0,0.0,,2026-01-28T20:14:00Z
TXN-50479,PRJ-1011,2026-03-15,2026-03-17,LABOR,18.0,2160.0,2,-182.0,1978.0,INV-9032,2026-03-17T21:02:00Z
TXN-50496,PRJ-1012,2026-01-11,2026-01-13,LABOR,14.0,3500.0,0,0.0,0.0,,2026-01-13T13:28:00Z
TXN-51032,PRJ-1024,2026-02-16,2026-02-18,LABOR,16.0,1520.0,2,-127.0,1393.0,INV-9068,2026-02-18T20:52:00Z
TXN-50542,PRJ-1013,2026-02-24,2026-02-25,LABOR,10.0,1750.0,0,0.0,0.0,,2026-02-25T19:43:00Z
TXN-50212,PRJ-1005,2026-03-06,2026-03-08,LABOR,16.0,2400.0,2,-178.0,2222.0,INV-9014,2026-03-08T14:14:00Z
TXN-51262,PRJ-1029,2026-02-21,2026-02-22,LABOR,20.0,1900.0,2,-343.0,1557.0,INV-9081,2026-02-22T19:11:00Z
TXN-50847,PRJ-1020,2026-01-05,2026-01-07,LABOR,14.0,2940.0,2,-267.0,2673.0,INV-9057,2026-01-07T17:59:00Z
TXN-50618,PRJ-1015,2026-02-07,2026-02-09,LABOR,16.0,3360.0,2,208.0,3568.0,INV-9043,2026-02-09T18:27:00Z
TXN-51593,PRJ-1037,2026-01-26,2026-01-26,LABOR,12.0,2100.0,2,-106.0,1994.0,INV-9103,2026-01-26T14:27:00Z
TXN-51257,PRJ-1029,2026-01-15,2026-01-15,LABOR,6.0,570.0,0,0.0,0.0,,2026-01-15T13:12:00Z
TXN-50234,PRJ-1006,2026-02-26,2026-02-28,LABOR,22.0,4620.0,2,-757.0,3863.0,INV-9016,2026-02-28T21:16:00Z
TXN-50019,PRJ-1001,2026-02-20,2026-02-21,LABOR,22.0,3850.0,0,0.0,0.0,,2026-02-21T22:09:00Z
TXN-50016,PRJ-1001,2026-02-12,2026-02-14,LABOR,20.0,4200.0,2,-509.0,3691.0,INV-9002,2026-02-14T13:55:00Z
TXN-50813,PRJ-1019,2026-02-08,2026-02-09,LABOR,10.0,950.0,2,-89.0,861.0,INV-9055,2026-02-09T14:34:00Z
TXN-50293,PRJ-1007,2026-02-04,2026-02-04,LABOR,6.0,1500.0,0,0.0,0.0,,2026-02-04T15:29:00Z
TXN-51465,PRJ-1033,2026-03-02,2026-03-02,EXPENSE,0.0,2419.0,2,-136.0,2283.0,INV-9094,2026-03-02T19:15:00Z
TXN-51125,PRJ-1026,2026-02-11,2026-02-11,LABOR,8.0,1200.0,2,-70.0,1130.0,INV-9074,2026-02-11T18:59:00Z
TXN-50031,PRJ-1001,2026-03-11,2026-03-12,LABOR,14.0,1330.0,0,0.0,0.0,,2026-03-12T22:25:00Z
TXN-51019,PRJ-1024,2026-01-25,2026-01-25,EXPENSE,0.0,1637.0,2,-219.0,1418.0,INV-9067,2026-01-25T21:29:00Z
TXN-50701,PRJ-1017,2026-02-10,2026-02-12,EXPENSE,0.0,2456.0,2,-393.0,2063.0,INV-9049,2026-02-12T13:42:00Z
TXN-50686,PRJ-1016,2026-03-26,2026-03-26,LABOR,18.0,3150.0,2,181.0,3331.0,INV-9047,2026-03-26T16:52:00Z
TXN-51728,PRJ-1040,2026-03-19,2026-03-20,LABOR,4.0,840.0,0,0.0,0.0,,2026-03-20T13:40:00Z
TXN-51662,PRJ-1038,2026-03-23,2026-03-24,LABOR,10.0,1500.0,0,0.0,0.0,,2026-03-24T16:26:00Z
TXN-51006,PRJ-1023,2026-03-23,2026-03-23,LABOR,16.0,3360.0,0,0.0,0.0,,2026-03-23T19:19:00Z
TXN-50817,PRJ-1019,2026-02-13,2026-02-15,LABOR,12.0,2520.0,0,0.0,0.0,,2026-02-15T13:35:00Z
TXN-50492,PRJ-1012,2026-01-19,2026-01-20,LABOR,10.0,1200.0,2,62.0,1262.0,INV-9033,2026-01-20T21:15:00Z
TXN-50203,PRJ-1005,2026-03-14,2026-03-15,LABOR,8.0,760.0,0,0.0,0.0,,2026-03-15T17:05:00Z
TXN-51358,PRJ-1031,2026-02-08,2026-02-08,LABOR,22.0,2090.0,2,-192.0,1898.0,INV-9087,2026-02-08T20:40:00Z
TXN-51450,PRJ-1033,2026-03-04,2026-03-05,EXPENSE,0.0,537.0,0,0.0,0.0,,2026-03-05T16:16:00Z
TXN-50917,PRJ-1021,2026-03-15,2026-03-17,EXPENSE,0.0,1239.0,0,0.0,0.0,,2026-03-17T18:54:00Z
TXN-50029,PRJ-1001,2026-03-06,2026-03-06,LABOR,16.0,1520.0,0,0.0,0.0,,2026-03-06T14:35:00Z
